Blackboard.und.edu,34.195.41.36
aero.und.edu,134.129.212.120
avit.und.edu,134.129.212.121
blackboard.und.edu,52.70.125.189
blogs.und.edu,134.129.134.238
email.und.edu,65.55.171.161
engineering.und.edu,134.129.183.70
info.und.edu,52.204.0.250
library.und.edu,134.129.183.73
med.und.edu,134.129.183.70
media.aero.und.edu,134.129.212.38
my.und.edu,134.129.183.73
www.med.und.edu,134.129.183.70
www.und.edu,134.129.183.70
www1.und.edu,134.129.183.73
