Character   Frequency

     l            16
     a            11
     o            7
     u            6
     v            6
     h            5
     j            5
     p            5
     y            5
     z            5
     n            4
     r            4
     w            4
     d            2
     i            2
     k            2
     s            2
     b            1
     c            1
     m            1
     t            1
